"EST","DTO","MUN","SECC","date","est.punt.densidad","est.punt.LNE","cota.inf.LNE","cota.sup.LNE"
"15","5","2","58",2024-06-01,10632.6756629882,17954.7600918313,17367.9762091064,18541.5439745562
"15","5","2","58",2024-07-01,10642.2984126042,17971.0094505304,17384.2255678055,18557.7933332553
"15","5","2","58",2024-08-01,10651.7526342204,17986.9742261292,17400.1903434043,18573.7581088541
"15","5","2","58",2024-09-01,10661.0409729571,18002.6588852832,17415.8750025583,18589.4427680081
"15","5","2","58",2024-10-01,10670.1660436523,18018.0678435121,17431.2839607872,18604.851726237
"15","5","2","58",2024-11-01,10679.1304307766,18033.2054650561,17446.4215823312,18619.989347781
"15","5","2","58",2024-12-01,10687.9366883692,18048.0760627677,17461.2921800428,18634.8599454926
"15","5","2","58",2025-01-01,10696.5873399938,18062.6838980371,17475.9000153122,18649.467780762
"15","5","2","58",2025-02-01,10705.0848787138,18077.0331807506,17490.2492980257,18663.8170634755
"15","5","2","58",2025-03-01,10713.4317670864,18091.1280692804,17504.3441865555,18677.9119520053
"15","5","2","58",2025-04-01,10721.630437174,18104.9726705041,17518.1887877792,18691.756553229
"15","5","2","58",2025-05-01,10729.6832905729,18118.571039853,17531.7871571281,18705.3549225779
"15","5","2","58",2025-06-01,10737.5926984581,18131.9271813876,17545.1432986627,18718.7110641125
"15","5","2","58",2025-07-01,10745.3610016437,18145.0450479001,17558.2611651752,18731.828930625
"15","5","2","58",2025-08-01,10752.9905106579,18157.9285410405,17571.1446583156,18744.7124237654
"15","5","2","58",2025-09-01,10760.4835058325,18170.5815114681,17583.7976287433,18757.365394193
"15","5","2","58",2025-10-01,10767.8422374056,18183.0077590244,17596.2238762995,18769.7916417493
"15","5","2","58",2025-11-01,10775.0689256365,18195.2110329281,17608.4271502032,18781.994915653
"15","5","2","58",2025-12-01,10782.1657609342,18207.1950319911,17620.4111492662,18793.978914716
"15","5","2","58",2026-01-01,10789.1349039961,18218.9634048531,17632.1795221282,18805.747287578
"15","5","2","58",2026-02-01,10795.9784859582,18230.5197502352,17643.7358675103,18817.3036329601
"15","5","2","58",2026-03-01,10802.6986085556,18241.8676172113,17655.0837344864,18828.6514999362
"15","5","2","58",2026-04-01,10809.2973442928,18253.0105054951,17666.2266227702,18839.79438822
"15","5","2","58",2026-05-01,10815.7767366233,18263.9518657437,17677.1679830188,18850.7357484686
"15","5","2","58",2026-06-01,10822.138800138,18274.6950998756,17687.9112171507,18861.4789826005
"15","5","2","58",2026-07-01,10828.3855207616,18285.2435614024,17698.4596786775,18872.0274441273
"15","5","2","58",2026-08-01,10834.518855957,18295.6005557738,17708.8166730489,18882.3844384987
"15","5","2","58",2026-09-01,10840.5407349366,18305.7693407352,17718.9854580103,18892.55322346
"15","5","2","58",2026-10-01,10846.4530588809,18315.7531266955,17728.9692439706,18902.5370094204
"15","5","2","58",2026-11-01,10852.2577011631,18325.5550771075,17738.7711943826,18912.3389598324
"15","5","2","58",2026-12-01,10857.9565075797,18335.1783088569,17748.394426132,18921.9621915818
"15","5","2","58",2027-01-01,10863.5512965869,18344.625892661,17757.8420099361,18931.4097753859
"15","5","2","58",2027-02-01,10869.0438595412,18353.9008534762,17767.1169707513,18940.6847362011
"15","5","2","58",2027-03-01,10874.4359609463,18363.0061709134,17776.2222881885,18949.7900536383
"15","5","2","58",2027-04-01,10879.7293387025,18371.9447796607,17785.1608969358,18958.7286623856
"15","5","2","58",2027-05-01,10884.925704362,18380.7195699132,17793.9356871883,18967.503452638
"15","5","2","58",2027-06-01,10890.0267433861,18389.3333878081,17802.5495050832,18976.117270533
"15","5","2","58",2027-07-01,10895.0341154071,18397.7890358668,17811.0051531419,18984.5729185916
"15","5","2","58",2027-08-01,10899.9494544925,18406.0892734406,17819.3053907157,18992.8731561655
"15","5","2","58",2027-09-01,10904.774369412,18414.2368171623,17827.4529344374,19001.0206998872
"15","5","2","58",2027-10-01,10909.5104439072,18422.2343414011,17835.4504586762,19009.018224126
"15","5","2","58",2027-11-01,10914.1592369628,18430.0844787209,17843.300595996,19016.8683614458
"15","5","2","58",2027-12-01,10918.722283081,18437.7898203428,17851.0059376179,19024.5737030677
"15","5","2","58",2028-01-01,10923.2010925554,18445.3529166095,17858.5690338846,19032.1367993344
"15","5","2","58",2028-02-01,10927.5971517488,18452.7762774518,17865.9923947269,19039.5601601767
"15","5","2","58",2028-03-01,10931.9119233696,18460.062372858,17873.2784901331,19046.8462555829
"15","5","2","58",2028-04-01,10936.1468467513,18467.2136333436,17880.4297506187,19053.9975160685
"15","5","2","58",2028-05-01,10940.3033381311,18474.2324504235,17887.4485676986,19061.0163331484
"15","5","2","58",2028-06-01,10944.3827909299,18481.1211770837,17894.3372943588,19067.9050598086
"15","5","2","58",2028-07-01,10948.3865760322,18487.8821282543,17901.0982455294,19074.6660109791
"15","5","2","58",2028-08-01,10952.3160420659,18494.5175812823,17907.7336985574,19081.3014640072
"15","5","2","58",2028-09-01,10956.1725156828,18501.0297764049,17914.24589368,19087.8136591298
"15","5","2","58",2028-10-01,10959.957301838,18507.4209172212,17920.6370344963,19094.2047999461
"15","5","2","58",2028-11-01,10963.6716840693,18513.6931711641,17926.9092884392,19100.477053889
"15","5","2","58",2028-12-01,10967.3169247757,18519.8486699714,17933.0647872465,19106.6325526963
"15","5","2","58",2029-01-01,10970.8942654961,18525.8895101546,17939.1056274297,19112.6733928795
"15","5","2","58",2029-02-01,10974.4049271855,18531.8177534675,17945.0338707426,19118.6016361924
"15","5","2","58",2029-03-01,10977.8501104921,18537.6354273723,17950.8515446474,19124.4193100972
"15","5","2","58",2029-04-01,10981.2309960319,18543.3445255043,17956.5606427794,19130.1284082292
"15","5","2","58",2029-05-01,10984.5487446626,18548.947008134,17962.1631254091,19135.7308908589
"15","5","2","58",2029-06-01,10987.8044977561,18554.4448026276,17967.6609199027,19141.2286853525
"15","5","2","58",2029-07-01,10990.9993774696,18559.8398039044,17973.0559211795,19146.6236866293
"15","5","2","58",2029-08-01,10994.1344870151,18565.1338748923,17978.3499921674,19151.9177576172
"15","5","2","58",2029-09-01,10997.2109109272,18570.3288469795,17983.5449642546,19157.1127297044
"15","5","2","58",2029-10-01,11000.2297153292,18575.4265204645,17988.6426377396,19162.2104031894
"15","5","2","58",2029-11-01,11003.1919481976,18580.4286650022,17993.6447822773,19167.2125477271
"15","5","2","58",2029-12-01,11006.0986396243,18585.3370200468,17998.5531373219,19172.1209027717
"15","5","2","58",2030-01-01,11008.9508020774,18590.1532952922,18003.3694125673,19176.9371780171
"15","5","2","58",2030-02-01,11011.7494306591,18594.8791711078,18008.0952883829,19181.6630538327
"15","5","2","58",2030-03-01,11014.4955033626,18599.5162989717,18012.7324162468,19186.3001816966
"15","5","2","58",2030-04-01,11017.1899813259,18604.0663019002,18017.2824191753,19190.8501846251
"15","5","2","58",2030-05-01,11019.833809084,18608.5307748726,18021.7468921477,19195.3146575975
"15","5","2","58",2030-06-01,11022.4279148187,18612.9112852535,18026.1274025286,19199.6951679784
"15","5","2","58",2030-07-01,11024.9732106057,18617.2093732106,18030.4254904857,19203.9932559355
"2","3","1","126",2020-01-01,4493.95706756303,16617.2535120282,14389.6395293876,18844.8674946687
"2","3","1","126",2020-02-01,4508.83102577132,16672.2527767204,14444.6387940799,18899.8667593609
"2","3","1","126",2020-03-01,4523.7330159358,16727.3556948556,14499.741712215,18954.9696774961
"2","3","1","126",2020-04-01,4538.66295083657,16782.5619439217,14554.9479612811,19010.1759265622
"2","3","1","126",2020-05-01,4553.6207423023,16837.8711978885,14610.257215248,19065.4851805291
"2","3","1","126",2020-06-01,4568.6063012103,16893.2831272083,14665.6691445677,19120.8971098488
"2","3","1","126",2020-07-01,4583.61953748664,16948.7973988155,14721.183416175,19176.411381456
"2","3","1","126",2020-08-01,4598.66036010635,17004.4136761283,14776.7996934877,19232.0276587688
"2","3","1","126",2020-09-01,4613.72867709366,17060.1316190487,14832.5176364082,19287.7456016893
"2","3","1","126",2020-10-01,4628.82439552229,17115.9508839646,14888.3369013241,19343.5648666052
"2","3","1","126",2020-11-01,4643.94742151589,17171.8711237503,14944.2571411097,19399.4851063908
"2","3","1","126",2020-12-01,4659.09766024839,17227.8919877685,15000.278005128,19455.505970409
"2","3","1","126",2021-01-01,4674.27501594455,17284.0131218723,15056.3991392317,19511.6271045128
"2","3","1","126",2021-02-01,4689.47939188049,17340.2341684068,15112.6201857663,19567.8481510474
"2","3","1","126",2021-03-01,4704.71069038435,17396.554766212,15168.9407835715,19624.1687488526
"2","3","1","126",2021-04-01,4719.96881283693,17452.9745506248,15225.3605679842,19680.5885332653
"2","3","1","126",2021-05-01,4735.25365967244,17509.4931534818,15281.8791708413,19737.1071361224
"2","3","1","126",2021-06-01,4750.56513037937,17566.1102031229,15338.4962204823,19793.7241857634
"2","3","1","126",2021-07-01,4765.90312350129,17622.8253243937,15395.2113417532,19850.4393070342
"2","3","1","126",2021-08-01,4781.26753663782,17679.6381386496,15452.024156009,19907.2521212901
"2","3","1","126",2021-09-01,4796.65826644565,17736.5482637591,15508.9342811186,19964.1622463996
"2","3","1","126",2021-10-01,4812.07520863959,17793.5553141081,15565.9413314676,20021.1692967487
"2","3","1","126",2021-11-01,4827.51825799369,17850.6589006039,15623.0449179634,20078.2728832444
"2","3","1","126",2021-12-01,4842.98730834247,17907.8586306795,15680.244648039,20135.47261332
"2","3","1","126",2022-01-01,4858.48225258215,17965.1541082985,15737.540125658,20192.7680909391
"2","3","1","126",2022-02-01,4874.00298267198,18022.54493396,15794.9309513194,20250.1589166005
"2","3","1","126",2022-03-01,4889.54938963568,18080.0307047034,15852.4167220629,20307.644687344
"2","3","1","126",2022-04-01,4905.12136356282,18137.6110141145,15909.9970314739,20365.224996755
"2","3","1","126",2022-05-01,4920.71879361043,18195.2854523301,15967.6714696896,20422.8994349707
"2","3","1","126",2022-06-01,4936.3415680045,18253.0536060451,16025.4396234046,20480.6675886857
"2","3","1","126",2022-07-01,4951.98957404172,18310.9150585176,16083.3010758771,20538.5290411582
"2","3","1","126",2022-08-01,4967.66269809114,18368.8693895758,16141.2554069353,20596.4833722163
"2","3","1","126",2022-09-01,4983.36082559602,18426.9161756245,16199.3021929839,20654.530158265
"2","3","1","126",2022-10-01,4999.08384107562,18485.0549896518,16257.4410070113,20712.6689722924
"2","3","1","126",2022-11-01,5014.83162812717,18543.2854012367,16315.6714185962,20770.8993838772
"2","3","1","126",2022-12-01,5030.60406942782,18601.6069765558,16373.9929939153,20829.2209591963
