"EST","DTO","MUN","SECC","date","est.punt","cota.inf","cota.sup"
"15","5","2","58",2027-12-01,23282.5186632793,22573.2599304595,23991.777396099
"15","5","2","58",2028-01-01,23349.1371702169,22638.492642353,24059.7816980809
"15","5","2","58",2028-02-01,23415.7556771546,22703.7180748692,24127.79327944
"15","5","2","58",2028-03-01,23482.3741840922,22768.9362706499,24195.8120975346
"15","5","2","58",2028-04-01,23548.9926910299,22834.1472722231,24263.8381098367
"15","5","2","58",2028-05-01,23615.6111979676,22899.3511220003,24331.8712739348
"15","5","2","58",2028-06-01,23682.2297049052,22964.5478622733,24399.9115475372
"15","5","2","58",2028-07-01,23748.8482118429,23029.737535211,24467.9588884747
"15","5","2","58",2028-08-01,23815.4667187805,23094.9201828568,24536.0132547042
"15","5","2","58",2028-09-01,23882.0852257182,23160.0958471254,24604.074604311
"15","5","2","58",2028-10-01,23948.7037326559,23225.2645698002,24672.1428955116
"15","5","2","58",2028-11-01,24015.3222395935,23290.4263925304,24740.2180866566
"15","5","2","58",2028-12-01,24081.9407465312,23355.5813568289,24808.3001362335
"15","5","2","58",2029-01-01,24148.5592534688,23420.729504069,24876.3890028687
"15","5","2","58",2029-02-01,24215.1777604065,23485.8708754824,24944.4846453306
"15","5","2","58",2029-03-01,24281.7962673441,23551.0055121568,25012.5870225315
"15","5","2","58",2029-04-01,24348.4147742818,23616.1334550333,25080.6960935303
"15","5","2","58",2029-05-01,24415.0332812195,23681.2547449044,25148.8118175345
"15","5","2","58",2029-06-01,24481.6517881571,23746.3694224115,25216.9341539027
"15","5","2","58",2029-07-01,24548.2702950948,23811.4775280431,25285.0630621465
"15","5","2","58",2029-08-01,24614.8888020324,23876.5791021325,25353.1985019324
"15","5","2","58",2029-09-01,24681.5073089701,23941.674184856,25421.3404330842
"15","5","2","58",2029-10-01,24748.1258159078,24006.7628162309,25489.4888155846
"15","5","2","58",2029-11-01,24814.7443228454,24071.8450361136,25557.6436095773
"15","5","2","58",2029-12-01,24881.3628297831,24136.9208841977,25625.8047753684
"15","5","2","58",2030-01-01,24947.9813367207,24201.9904000127,25693.9722734288
"15","5","2","58",2030-02-01,25014.5998436584,24267.0536229217,25762.1460643951
